employee_id,first_name,last_name,email,phone,department,title,hire_date,salary,manager_id,office_location,status,performance_rating,years_at_company
2754173a-63e9-42e2-b8a0-34eb11fac013,Kathryn,Reese,kathryn.reese@insighthub-internal.com,406-277-6191x82779,Sales,VP of Sales,2024-11-22,58000,,Atlanta,Active,5,1.5
e9d1dc6b-b16e-4b5f-bc71-608e46901d43,Felicia,Gray,felicia.gray@insighthub-internal.com,497-735-7013x595,Marketing,CMO,2014-12-14,106000,,Atlanta,Active,4,11.5
22e8d4b7-bb2e-4be6-8055-0ff62cc29846,Deborah,Austin,deborah.austin@insighthub-internal.com,240-909-1534,HR,CHRO,2019-03-03,68000,,San Francisco,Active,5,7.3
1f21ede9-db19-40b8-a081-b53b07a3b63b,Jessica,Schultz,jessica.schultz@insighthub-internal.com,453-250-3817x61063,Engineering,VP of Engineering,2025-07-21,170000,,Austin,Active,3,0.9
e2f5f94e-cf7a-466f-8e6e-5b12a29744a4,Wesley,Weaver,wesley.weaver@insighthub-internal.com,001-796-806-8574x746,Customer Support,Support Manager,2020-10-20,71000,,Chicago,Active,5,5.6
61d04f7d-1ee6-4d83-a323-f2d1805e2523,Brooke,Scott,brooke.scott@insighthub-internal.com,586.796.0936x44136,HR,CHRO,2025-09-15,68000,,San Francisco,Active,5,0.7
9f1dc477-c3fa-4e40-a3c6-e01a34744e6d,Jennifer,Skinner,jennifer.skinner@insighthub-internal.com,515-225-8903,Customer Support,Support Manager,2018-01-04,75000,,Austin,Active,1,8.4
e7560864-e38d-4c3d-babe-c40bd1151599,Michael,Murray,michael.murray@insighthub-internal.com,+1-358-347-7873x99981,Customer Support,Support Manager,2020-01-12,54000,,New York,Active,3,6.4
e85ee363-0307-405e-b0a9-feeff9a9b10d,Alexander,Bowman,alexander.bowman@insighthub-internal.com,001-845-410-6773x70250,Marketing,CMO,2020-09-17,79000,,Remote,Active,5,5.7
f85f50eb-aa6e-4c4d-818e-62450aa9916d,Mark,Sanchez,mark.sanchez@insighthub-internal.com,+1-202-986-2004x16077,Marketing,CMO,2023-10-15,94000,,Atlanta,Active,5,2.6
a272a08e-8815-4ef7-8c46-60003b0a0272,Russell,Gould,russell.gould@insighthub-internal.com,+1-370-419-4542x72957,Engineering,VP of Engineering,2017-11-05,158000,,Chicago,Active,4,8.6
64cdeda9-851b-45d1-b5b4-c0f1bccbfbe7,Lori,Dominguez,lori.dominguez@insighthub-internal.com,9154736784,Customer Support,Support Manager,2016-09-14,50000,,Seattle,Active,5,9.7
3041207d-d7af-4130-bee6-2d271e81b371,Chelsea,Chaney,chelsea.chaney@insighthub-internal.com,468-576-2797,Marketing,CMO,2016-04-18,110000,,Seattle,Active,5,10.1
f4aea251-4ec2-4fb3-b7eb-3b44ff459319,Paige,Higgins,paige.higgins@insighthub-internal.com,593-861-9203x6661,Sales,VP of Sales,2020-08-23,90000,,Chicago,On Leave,3,5.8
dc2f5647-ae43-42bc-a22e-2e6616dd9cb9,Cynthia,Bradshaw,cynthia.bradshaw@insighthub-internal.com,636.736.5508x5959,Operations,COO,2019-12-02,93000,,Chicago,Terminated,3,6.5
9d6bfac9-163c-4765-89b1-d20ce65da408,Andrea,Hancock,andrea.hancock@insighthub-internal.com,2652512974,Customer Support,Support Manager,2025-12-12,75000,,Austin,Active,4,0.5
935783ee-4a8f-4469-a2ee-4c6bb9d66c9c,Thomas,Ellis,thomas.ellis@insighthub-internal.com,+1-425-377-2288x0122,Operations,COO,2015-05-19,101000,,New York,Active,5,11.0
14a42899-a35f-4e8a-8019-63a30e074822,Tammie,Mccarty,tammie.mccarty@insighthub-internal.com,782-976-4481,Operations,COO,2014-06-20,66000,,Chicago,Active,4,12.0
8ed82332-9b5d-49ec-8ee7-49262c739ffc,Emily,Davis,emily.davis@insighthub-internal.com,647.420.9896,Customer Support,Support Manager,2014-11-02,61000,,Remote,Active,2,11.6
a3c18000-6f5c-4c35-94f0-b7d07c31c103,Kelly,Cruz,kelly.cruz@insighthub-internal.com,(754)312-4292x819,Customer Support,Support Manager,2023-02-26,70000,,Seattle,Active,4,3.3
270df86f-c8a9-4dc6-aee5-172628a42d58,Steven,Mendoza,steven.mendoza@insighthub-internal.com,380-357-7565,Customer Support,Support Manager,2019-08-09,42000,,Seattle,On Leave,5,6.8
9cce7d01-708e-472c-824a-ee69d849cde0,Kenneth,Mills,kenneth.mills@insighthub-internal.com,(875)785-6414,Marketing,CMO,2017-09-30,109000,,Boston,Active,1,8.7
7c96b3bd-730a-4a9e-b546-b95ec3ceee3e,Theresa,Richmond,theresa.richmond@insighthub-internal.com,+1-664-873-2838x38335,Finance,CFO,2023-08-20,111000,,Atlanta,Active,1,2.8
909edffb-a072-4476-b02a-0beac6ebf5fa,John,Lynn,john.lynn@insighthub-internal.com,693-245-8634,Customer Support,Support Manager,2014-07-22,51000,,Remote,Active,4,11.9
9f4947fb-8819-4602-b0b7-c3fb483615fe,Jared,Hill,jared.hill@insighthub-internal.com,(460)372-0462,Finance,Senior Financial Analyst,2016-03-31,105000,e9d1dc6b-b16e-4b5f-bc71-608e46901d43,Remote,Active,1,10.2
709c41f7-44e0-4a4d-ba32-e7ebd9c4be88,Timothy,Adams,timothy.adams@insighthub-internal.com,727-911-4500,Engineering,Software Engineer,2025-05-29,165000,64cdeda9-851b-45d1-b5b4-c0f1bccbfbe7,Austin,Active,3,1.0
